127.0.0.1 - - [15/Jan/2020:09:43:13 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:43:14 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:43:14 +0900] "GET /favicon.ico HTTP/1.1" 404 761
185.216.140.186 - - [15/Jan/2020:09:53:35 +0900] "GET /cache/global/img/gs.gif HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:53:56 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:53:56 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:53:56 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:58:43 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:03 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:03 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:03 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:03 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:04 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:04 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:04 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:09:59:04 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:28 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:28 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:29 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:29 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:29 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:29 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:29 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:00:30 +0900] "GET /JavaScript/undefined HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:02:21 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:02:22 +0900] "GET /JavaScript/ex23_Array.html HTTP/1.1" 200 4547
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:04:21 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:04:21 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:04:21 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:04:21 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:04:21 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:04:31 +0900] "GET /JavaScript/ex24_location.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:21:09 +0900] "GET /JavaScript/ex25_DOM_Document.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:21:25 +0900] "GET /JavaScript/ex25_DOM_Document.html HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:21:25 +0900] "GET /JavaScript/ex25_DOM_Document.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:32:30 +0900] "GET /JavaScript/ex25_DOM_Document.html HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:09 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:19 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:45 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:45 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:46 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:46 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:46 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:46 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:46 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:47 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:47 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:47 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:48 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:48 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2020:10:51:48 +0900] "GET /JavaScript/ex26_DOM_Document2.html HTTP/1.1" 304 -
