127.0.0.1 - - [02/Jan/2020:09:47:11 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:47:11 +0900] "GET /CSS/css03.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:47:11 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:47:40 +0900] "GET /CSS/css03.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:47:43 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:04 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:05 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:06 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:06 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:06 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:06 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:38 +0900] "GET /CSS/css03.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:48:38 +0900] "GET /CSS/mystyle.css HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:49:20 +0900] "GET /CSS/css03.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:49:20 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:49:21 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:49:21 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:49:21 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:49:29 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:50:17 +0900] "GET /CSS/css03.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:50:17 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:51:24 +0900] "GET /CSS/css03.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:51:24 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:05 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:05 +0900] "GET /CSS/mystyle.css HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:06 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:06 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:07 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:07 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:07 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:07 +0900] "GET /CSS/css03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:25 +0900] "GET /CSS/css03.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:25 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:51 +0900] "GET /CSS/css03.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:53:51 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:55:40 +0900] "GET /CSS/css03.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [02/Jan/2020:09:55:40 +0900] "GET /CSS/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:18:46 +0900] "GET /CSS/css05.html HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:29:33 +0900] "GET /CSS/css05.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:29:33 +0900] "GET /CSS/images/back02.jpg HTTP/1.1" 200 278406
0:0:0:0:0:0:0:1 - - [02/Jan/2020:10:30:38 +0900] "GET /CSS/css05.html HTTP/1.1" 200 423
