127.0.0.1 - - [06/Jan/2020:09:52:54 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:52:55 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:52:55 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:16 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:16 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:17 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:17 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:17 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:18 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:18 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:18 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:19 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:19 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:19 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:19 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:20 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:20 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:20 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:21 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:21 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:21 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:22 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:22 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:22 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:23 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:23 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:23 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:24 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:09:53:24 +0900] "GET /CSS/css16_Display.html HTTP/1.1" 304 -
