127.0.0.1 - - [14/Jan/2020:09:58:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:58:27 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:58:27 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:11 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:11 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:11 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:12 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:12 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:12 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:12 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:13 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:13 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:13 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:13 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:14 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:14 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:14 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:15 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:15 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:15 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:09:59:18 +0900] "GET /JavaScript/ex19_Number.html HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:17 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:31 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:32 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:32 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:32 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:32 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:32 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:33 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:33 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:35 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:35 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:36 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:36 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jan/2020:10:46:36 +0900] "GET /JavaScript/ex20_Date.html HTTP/1.1" 304 -
